date,gross,turnover_cost,borrow_cost,net,held_gross_lev,test_year,L,net_stress
2018-01-03,768.5021479792315,0.0,1.0562161969383974,767.4459317822931,2.8813473778838854,2017,COMBO,767.4459317822931
2018-01-04,638.9662595448416,0.0,1.0562161969383974,637.9100433479032,2.8813473778838854,2017,COMBO,637.9100433479032
2018-01-05,327.11117447681073,0.0,1.0562161969383974,326.0549582798723,2.8813473778838854,2017,COMBO,326.0549582798723
2018-01-08,-61.24679812087592,0.0,1.0562161969383974,-62.30301431781432,2.8813473778838854,2017,COMBO,-62.30301431781432
2018-01-09,-610.8882589728545,0.0,1.0562161969383974,-611.9444751697929,2.8813473778838854,2017,COMBO,-611.9444751697929
2018-01-10,-84.77801970582478,0.0,1.0562161969383974,-85.83423590276317,2.8813473778838854,2017,COMBO,-85.83423590276317
2018-01-11,1028.2774881588334,0.0,1.0562161969383974,1027.2212719618951,2.8813473778838854,2017,COMBO,1027.2212719618951
2018-01-12,1398.039886290057,0.0,1.0562161969383974,1396.9836700931187,2.8813473778838854,2017,COMBO,1396.9836700931187
2018-01-16,5.347746647247566,0.0,1.0562161969383974,4.2915304503091685,2.8813473778838854,2017,COMBO,4.2915304503091685
2018-01-17,484.03199526980586,0.0,1.0562161969383974,482.97577907286745,2.8813473778838854,2017,COMBO,482.97577907286745
2018-01-18,-684.0390984871296,0.0,1.0562161969383974,-685.0953146840681,2.8813473778838854,2017,COMBO,-685.0953146840681
2018-01-19,396.1043023936425,0.0,1.0562161969383974,395.0480861967041,2.8813473778838854,2017,COMBO,395.0480861967041
2018-01-22,836.6201203921967,0.0,1.0562161969383974,835.5639041952583,2.8813473778838854,2017,COMBO,835.5639041952583
2018-01-23,1093.8604647747816,0.0,1.0562161969383974,1092.8042485778433,2.8813473778838854,2017,COMBO,1092.8042485778433
2018-01-24,737.9851620159965,0.0,1.0562161969383974,736.9289458190581,2.8813473778838854,2017,COMBO,736.9289458190581
2018-01-25,-234.68438435405957,0.0,1.0562161969383974,-235.74060055099798,2.8813473778838854,2017,COMBO,-235.74060055099798
2018-01-26,1016.0814696976664,0.0,1.0562161969383974,1015.025253500728,2.8813473778838854,2017,COMBO,1015.025253500728
2018-01-29,-1486.0998931981621,0.0,1.0562161969383974,-1487.1561093951004,2.8813473778838854,2017,COMBO,-1487.1561093951004
2018-01-30,-1455.8668667078393,0.0,1.0562161969383974,-1456.9230829047776,2.8813473778838854,2017,COMBO,-1456.9230829047776
2018-01-31,733.7661998176504,0.0,1.0562161969383974,732.709983620712,2.8813473778838854,2017,COMBO,732.709983620712
2018-02-01,-401.94486874044253,118.56399295281156,1.0562161969383974,-521.5650778901925,2.8813473778838854,2017,COMBO,-580.8470743665982
2018-02-02,-2545.073452009872,0.0,2.0437422575161492,-2547.117194267388,2.6322032955063692,2017,COMBO,-2547.117194267388
2018-02-05,-3819.9175377315437,0.0,2.0437422575161492,-3821.9612799890597,2.6322032955063692,2017,COMBO,-3821.9612799890597
2018-02-06,1570.2694407352908,0.0,2.0437422575161492,1568.2256984777746,2.6322032955063692,2017,COMBO,1568.2256984777746
2018-02-07,-1576.5520401842366,0.0,2.0437422575161492,-1578.5957824417528,2.6322032955063692,2017,COMBO,-1578.5957824417528
2018-02-08,-2821.4124985909702,0.0,2.0437422575161492,-2823.4562408484862,2.6322032955063692,2017,COMBO,-2823.4562408484862
2018-02-09,559.6488758369106,0.0,2.0437422575161492,557.6051335793945,2.6322032955063692,2017,COMBO,557.6051335793945
2018-02-12,1740.4450300991432,0.0,2.0437422575161492,1738.401287841627,2.6322032955063692,2017,COMBO,1738.401287841627
2018-02-13,310.1749443810209,0.0,2.0437422575161492,308.13120212350475,2.6322032955063692,2017,COMBO,308.13120212350475
2018-02-14,2905.9003492312154,0.0,2.0437422575161492,2903.8566069736994,2.6322032955063692,2017,COMBO,2903.8566069736994
2018-02-15,1312.6109755847328,0.0,2.0437422575161492,1310.5672333272166,2.6322032955063692,2017,COMBO,1310.5672333272166
2018-02-16,-265.7847308743748,0.0,2.0437422575161492,-267.828473131891,2.6322032955063692,2017,COMBO,-267.828473131891
2018-02-20,-1091.3489399327514,0.0,2.0437422575161492,-1093.3926821902676,2.6322032955063692,2017,COMBO,-1093.3926821902676
2018-02-21,-640.2584145803033,0.0,2.0437422575161492,-642.3021568378194,2.6322032955063692,2017,COMBO,-642.3021568378194
2018-02-22,751.1799575781832,0.0,2.0437422575161492,749.1362153206671,2.6322032955063692,2017,COMBO,749.1362153206671
2018-02-23,980.9535291953972,0.0,2.0437422575161492,978.9097869378811,2.6322032955063692,2017,COMBO,978.9097869378811
2018-02-26,1016.4918349870771,0.0,2.0437422575161492,1014.448092729561,2.6322032955063692,2017,COMBO,1014.448092729561
2018-02-27,-1876.161904141677,0.0,2.0437422575161492,-1878.2056463991933,2.6322032955063692,2017,COMBO,-1878.2056463991933
2018-02-28,-1267.0238161919342,0.0,2.0437422575161492,-1269.0675584494504,2.6322032955063692,2017,COMBO,-1269.0675584494504
2018-03-01,-1136.8435961619812,117.59391846951674,2.0437422575161492,-1256.481256889014,2.6322032955063692,2017,COMBO,-1315.2782161237724
2018-03-02,935.6499745873281,0.0,3.695038874253359,931.9549357130747,2.4562484623266,2017,COMBO,931.9549357130747
2018-03-05,460.99470486893665,0.0,3.695038874253359,457.29966599468327,2.4562484623266,2017,COMBO,457.29966599468327
2018-03-06,434.80722954345543,0.0,3.695038874253359,431.11219066920205,2.4562484623266,2017,COMBO,431.11219066920205
2018-03-07,-100.0568487382938,0.0,3.695038874253359,-103.75188761254715,2.4562484623266,2017,COMBO,-103.75188761254715
2018-03-08,-588.5293043948376,0.0,3.695038874253359,-592.2243432690909,2.4562484623266,2017,COMBO,-592.2243432690909
2018-03-09,973.9854576249953,0.0,3.695038874253359,970.290418750742,2.4562484623266,2017,COMBO,970.290418750742
2018-03-12,-17.852449494469077,0.0,3.695038874253359,-21.547488368722437,2.4562484623266,2017,COMBO,-21.547488368722437
2018-03-13,-435.74344761750206,0.0,3.695038874253359,-439.43848649175544,2.4562484623266,2017,COMBO,-439.43848649175544
2018-03-14,-221.92791244349422,0.0,3.695038874253359,-225.62295131774758,2.4562484623266,2017,COMBO,-225.62295131774758
2018-03-15,-281.87443021007374,0.0,3.695038874253359,-285.5694690843271,2.4562484623266,2017,COMBO,-285.5694690843271
2018-03-16,70.22631073474058,0.0,3.695038874253359,66.53127186048722,2.4562484623266,2017,COMBO,66.53127186048722
2018-03-19,-283.88865663008625,0.0,3.695038874253359,-287.58369550433963,2.4562484623266,2017,COMBO,-287.58369550433963
2018-03-20,211.34251070388729,0.0,3.695038874253359,207.64747182963393,2.4562484623266,2017,COMBO,207.64747182963393
2018-03-21,844.0339438795838,0.0,3.695038874253359,840.3389050053305,2.4562484623266,2017,COMBO,840.3389050053305
2018-03-22,-1429.5603382057948,0.0,3.695038874253359,-1433.2553770800482,2.4562484623266,2017,COMBO,-1433.2553770800482
2018-03-23,-229.63655546951483,0.0,3.695038874253359,-233.3315943437682,2.4562484623266,2017,COMBO,-233.3315943437682
2018-03-26,1262.2142580703598,0.0,3.695038874253359,1258.5192191961064,2.4562484623266,2017,COMBO,1258.5192191961064
2018-03-27,-1506.6844864735217,0.0,3.695038874253359,-1510.3795253477751,2.4562484623266,2017,COMBO,-1510.3795253477751
2018-03-28,-906.930625699089,0.0,3.695038874253359,-910.6256645733423,2.4562484623266,2017,COMBO,-910.6256645733423
2018-03-29,583.4761543243217,0.0,3.695038874253359,579.7811154500683,2.4562484623266,2017,COMBO,579.7811154500683
2018-04-02,-1114.6418325953464,77.28313014304598,3.695038874253359,-1195.6200016126459,2.4562484623266,2017,COMBO,-1234.2615666841689
2018-04-03,356.9882999786174,0.0,4.897931321510909,352.0903686571065,2.9294685320470633,2017,COMBO,352.0903686571065
2018-04-04,154.19295657830716,0.0,4.897931321510909,149.29502525679627,2.9294685320470633,2017,COMBO,149.29502525679627
2018-04-05,155.43081122798682,0.0,4.897931321510909,150.53287990647593,2.9294685320470633,2017,COMBO,150.53287990647593
2018-04-06,-951.0169787927484,0.0,4.897931321510909,-955.9149101142593,2.9294685320470633,2017,COMBO,-955.9149101142593
2018-04-09,636.8924861675583,0.0,4.897931321510909,631.9945548460474,2.9294685320470633,2017,COMBO,631.9945548460474
2018-04-10,1093.4373166773332,0.0,4.897931321510909,1088.5393853558223,2.9294685320470633,2017,COMBO,1088.5393853558223
2018-04-11,73.63874086250719,0.0,4.897931321510909,68.74080954099628,2.9294685320470633,2017,COMBO,68.74080954099628
2018-04-12,235.88127177442226,0.0,4.897931321510909,230.98334045291136,2.9294685320470633,2017,COMBO,230.98334045291136
2018-04-13,-333.53998219951166,0.0,4.897931321510909,-338.43791352102255,2.9294685320470633,2017,COMBO,-338.43791352102255
2018-04-16,196.9224741222427,0.0,4.897931321510909,192.0245428007318,2.9294685320470633,2017,COMBO,192.0245428007318
2018-04-17,77.15312527392425,0.0,4.897931321510909,72.25519395241334,2.9294685320470633,2017,COMBO,72.25519395241334
2018-04-18,782.2383638322959,0.0,4.897931321510909,777.340432510785,2.9294685320470633,2017,COMBO,777.340432510785
2018-04-19,-21.420077298798578,0.0,4.897931321510909,-26.318008620309488,2.9294685320470633,2017,COMBO,-26.318008620309488
2018-04-20,-105.80904039850215,0.0,4.897931321510909,-110.70697172001306,2.9294685320470633,2017,COMBO,-110.70697172001306
2018-04-23,-217.0780423454128,0.0,4.897931321510909,-221.9759736669237,2.9294685320470633,2017,COMBO,-221.9759736669237
2018-04-24,-182.4539217288531,0.0,4.897931321510909,-187.35185305036399,2.9294685320470633,2017,COMBO,-187.35185305036399
2018-04-25,-4.756528878768881,0.0,4.897931321510909,-9.65446020027979,2.9294685320470633,2017,COMBO,-9.65446020027979
2018-04-26,-265.52624962140385,0.0,4.897931321510909,-270.42418094291475,2.9294685320470633,2017,COMBO,-270.42418094291475
2018-04-27,-331.07084606100335,0.0,4.897931321510909,-335.96877738251425,2.9294685320470633,2017,COMBO,-335.96877738251425
2018-04-30,-328.8386257483686,0.0,4.897931321510909,-333.7365570698795,2.9294685320470633,2017,COMBO,-333.7365570698795
2018-05-01,-372.80808518502437,133.78241012555853,4.897931321510909,-511.4884266320938,2.9294685320470633,2017,COMBO,-578.3796316948731
2018-05-02,-228.60306824070338,0.0,6.007933630411509,-234.6110018711149,2.975856878031243,2017,COMBO,-234.6110018711149
2018-05-03,38.986716627940424,0.0,6.007933630411509,32.97878299752892,2.975856878031243,2017,COMBO,32.97878299752892
2018-05-04,190.77152525212082,0.0,6.007933630411509,184.7635916217093,2.975856878031243,2017,COMBO,184.7635916217093
2018-05-07,63.709435864802074,0.0,6.007933630411509,57.70150223439057,2.975856878031243,2017,COMBO,57.70150223439057
2018-05-08,337.5001333102372,0.0,6.007933630411509,331.49219967982566,2.975856878031243,2017,COMBO,331.49219967982566
2018-05-09,512.5867570580697,0.0,6.007933630411509,506.57882342765816,2.975856878031243,2017,COMBO,506.57882342765816
2018-05-10,-461.54149818009523,0.0,6.007933630411509,-467.54943181050675,2.975856878031243,2017,COMBO,-467.54943181050675
2018-05-11,-194.11629858476888,0.0,6.007933630411509,-200.1242322151804,2.975856878031243,2017,COMBO,-200.1242322151804
2018-05-14,826.700295216586,0.0,6.007933630411509,820.6923615861746,2.975856878031243,2017,COMBO,820.6923615861746
2018-05-15,1071.225085777144,0.0,6.007933630411509,1065.2171521467324,2.975856878031243,2017,COMBO,1065.2171521467324
2018-05-16,449.9750874396078,0.0,6.007933630411509,443.9671538091963,2.975856878031243,2017,COMBO,443.9671538091963
2018-05-17,256.3305654694721,0.0,6.007933630411509,250.3226318390606,2.975856878031243,2017,COMBO,250.3226318390606
2018-05-18,-845.3858060503533,0.0,6.007933630411509,-851.3937396807647,2.975856878031243,2017,COMBO,-851.3937396807647
2018-05-21,34.343683058271274,0.0,6.007933630411509,28.335749427859767,2.975856878031243,2017,COMBO,28.335749427859767
2018-05-22,-26.110739271794795,0.0,6.007933630411509,-32.118672902206306,2.975856878031243,2017,COMBO,-32.118672902206306
2018-05-23,-756.6317751189744,0.0,6.007933630411509,-762.6397087493858,2.975856878031243,2017,COMBO,-762.6397087493858
2018-05-24,-845.0151968500862,0.0,6.007933630411509,-851.0231304804977,2.975856878031243,2017,COMBO,-851.0231304804977
2018-05-25,-1268.5003172969496,0.0,6.007933630411509,-1274.5082509273611,2.975856878031243,2017,COMBO,-1274.5082509273611
2018-05-29,-2094.425195185512,0.0,6.007933630411509,-2100.4331288159237,2.975856878031243,2017,COMBO,-2100.4331288159237
2018-05-30,1163.882453877926,0.0,6.007933630411509,1157.8745202475145,2.975856878031243,2017,COMBO,1157.8745202475145
2018-05-31,-106.65846647966897,0.0,6.007933630411509,-112.66640011008049,2.975856878031243,2017,COMBO,-112.66640011008049
2018-06-01,147.21932952163286,142.47024111539233,6.007933630411509,-1.2588452241709778,2.975856878031243,2017,COMBO,-72.49396578186716
2018-06-04,163.1116625241879,0.0,3.2177961057070723,159.89386641848083,2.2820545809223955,2017,COMBO,159.89386641848083
2018-06-05,22.34952521562098,0.0,3.2177961057070723,19.131729109913906,2.2820545809223955,2017,COMBO,19.131729109913906
2018-06-06,363.1194616842601,0.0,3.2177961057070723,359.90166557855304,2.2820545809223955,2017,COMBO,359.90166557855304
2018-06-07,-226.9373950796393,0.0,3.2177961057070723,-230.15519118534635,2.2820545809223955,2017,COMBO,-230.15519118534635
2018-06-08,229.97607763309003,0.0,3.2177961057070723,226.75828152738296,2.2820545809223955,2017,COMBO,226.75828152738296
2018-06-11,68.43474413240274,0.0,3.2177961057070723,65.21694802669568,2.2820545809223955,2017,COMBO,65.21694802669568
2018-06-12,213.57402497470295,0.0,3.2177961057070723,210.35622886899588,2.2820545809223955,2017,COMBO,210.35622886899588
2018-06-13,-170.5923983919356,0.0,3.2177961057070723,-173.81019449764267,2.2820545809223955,2017,COMBO,-173.81019449764267
2018-06-14,59.14461930601871,0.0,3.2177961057070723,55.92682320031164,2.2820545809223955,2017,COMBO,55.92682320031164
2018-06-15,-210.34140742735528,0.0,3.2177961057070723,-213.55920353306234,2.2820545809223955,2017,COMBO,-213.55920353306234
2018-06-18,338.90592257384054,0.0,3.2177961057070723,335.6881264681335,2.2820545809223955,2017,COMBO,335.6881264681335
2018-06-19,-352.47123549173614,0.0,3.2177961057070723,-355.6890315974432,2.2820545809223955,2017,COMBO,-355.6890315974432
2018-06-20,716.35124443047,0.0,3.2177961057070723,713.133448324763,2.2820545809223955,2017,COMBO,713.133448324763
2018-06-21,-535.2806925419982,0.0,3.2177961057070723,-538.4984886477052,2.2820545809223955,2017,COMBO,-538.4984886477052
2018-06-22,479.41945904623987,0.0,3.2177961057070723,476.2016629405328,2.2820545809223955,2017,COMBO,476.2016629405328
2018-06-25,-1028.9362911908609,0.0,3.2177961057070723,-1032.154087296568,2.2820545809223955,2017,COMBO,-1032.154087296568
2018-06-26,654.8725205636755,0.0,3.2177961057070723,651.6547244579684,2.2820545809223955,2017,COMBO,651.6547244579684
2018-06-27,-204.3505999276911,0.0,3.2177961057070723,-207.56839603339816,2.2820545809223955,2017,COMBO,-207.56839603339816
2018-06-28,396.19196234266224,0.0,3.2177961057070723,392.97416623695517,2.2820545809223955,2017,COMBO,392.97416623695517
2018-06-29,-75.38879979466574,0.0,3.2177961057070723,-78.60659590037281,2.2820545809223955,2017,COMBO,-78.60659590037281
2018-07-02,464.8815717352199,37.157382730367935,5.952117232465352,421.7720717723866,2.9999999999999996,2018,6,403.19338040720265
2018-07-03,-702.2862916048792,0.0,5.9877481464390145,-708.2740397513182,2.9999999999999996,2018,6,-708.2740397513182
2018-07-05,-213.9379789262351,0.0,5.9877481464390145,-219.9257270726741,2.9999999999999996,2018,6,-219.9257270726741
2018-07-06,-186.18592551485577,0.0,5.9877481464390145,-192.17367366129477,2.9999999999999996,2018,6,-192.17367366129477
2018-07-09,-199.4363032294823,0.0,5.9877481464390145,-205.4240513759213,2.9999999999999996,2018,6,-205.4240513759213
2018-07-10,165.82581457509355,0.0,5.9877481464390145,159.83806642865454,2.9999999999999996,2018,6,159.83806642865454
2018-07-11,90.51036449066942,0.0,5.9877481464390145,84.5226163442304,2.9999999999999996,2018,6,84.5226163442304
2018-07-12,-212.73805134343374,0.0,5.9877481464390145,-218.72579948987274,2.9999999999999996,2018,6,-218.72579948987274
2018-07-13,-194.91411719883254,0.0,5.9877481464390145,-200.90186534527155,2.9999999999999996,2018,6,-200.90186534527155
2018-07-16,-207.3763926995118,0.0,5.9877481464390145,-213.3641408459508,2.9999999999999996,2018,6,-213.3641408459508
2018-07-17,375.44450960892493,0.0,5.9877481464390145,369.45676146248593,2.9999999999999996,2018,6,369.45676146248593
2018-07-18,326.54491095233834,0.0,5.9877481464390145,320.55716280589934,2.9999999999999996,2018,6,320.55716280589934
2018-07-19,328.95443910709065,0.0,5.9877481464390145,322.96669096065165,2.9999999999999996,2018,6,322.96669096065165
2018-07-20,-258.0608489993082,0.0,5.9877481464390145,-264.0485971457472,2.9999999999999996,2018,6,-264.0485971457472
2018-07-23,950.1825289924388,0.0,5.9877481464390145,944.1947808459998,2.9999999999999996,2018,6,944.1947808459998
2018-07-24,-475.3717589715901,0.0,5.9877481464390145,-481.3595071180291,2.9999999999999996,2018,6,-481.3595071180291
2018-07-25,-158.27373897454714,0.0,5.9877481464390145,-164.26148712098615,2.9999999999999996,2018,6,-164.26148712098615
2018-07-26,690.0406655576857,0.0,5.9877481464390145,684.0529174112467,2.9999999999999996,2018,6,684.0529174112467
2018-07-27,-818.0893341712755,0.0,5.9877481464390145,-824.0770823177145,2.9999999999999996,2018,6,-824.0770823177145
2018-07-30,25.873000588397097,0.0,5.9877481464390145,19.885252441958084,2.9999999999999996,2018,6,19.885252441958084
2018-07-31,-246.46614291421892,0.0,5.9877481464390145,-252.45389106065792,2.9999999999999996,2018,6,-252.45389106065792
2018-08-01,569.1329481005063,73.41517548891879,5.9877481464390145,489.73002446514846,2.9999999999999996,2018,6,453.0224367206891
2018-08-02,795.5684456876279,0.0,5.600021760911626,789.9684239267162,2.9999999999999996,2018,6,789.9684239267162
2018-08-03,-370.88040679358534,0.0,5.600021760911626,-376.48042855449694,2.9999999999999996,2018,6,-376.48042855449694
2018-08-06,549.5771027826353,0.0,5.600021760911626,543.9770810217236,2.9999999999999996,2018,6,543.9770810217236
2018-08-07,4.808594559026422,0.0,5.600021760911626,-0.7914272018852042,2.9999999999999996,2018,6,-0.7914272018852042
